G,Time(s)
410,0.0368156
411,0.0369324
412,0.0369931
413,0.037037
414,0.0368835
415,0.0369203
416,0.0368441
417,0.0368373
418,0.0370219
419,0.0368935
420,0.0368414
421,0.0370388
422,0.0376255
423,0.0369362
424,0.0369919
425,0.0368423
426,0.0373205
427,0.0372698
428,0.0371915
429,0.0371961
430,0.0374387
431,0.0371905
432,0.0369407
433,0.0367733
434,0.036763
435,0.0368279
436,0.0367378
437,0.036786
438,0.0367775
439,0.0368537
440,0.0368081
441,0.0367659
442,0.0374735
443,0.0395088
444,0.0410153
445,0.0386174
446,0.0369418
447,0.0369921
448,0.0370146
449,0.0368841
450,0.0369353
451,0.0369489
452,0.0370918
453,0.0369085
454,0.0368438
455,0.0368975
456,0.0368434
457,0.0368793
458,0.0373605
459,0.0370018
460,0.0368708
461,0.0367748
462,0.0368088
463,0.0371404
464,0.0370584
465,0.0369042
466,0.037599
467,0.0368372
468,0.0368614
469,0.0373421
470,0.0374489
471,0.0370721
472,0.0368071
473,0.0368796
474,0.0368502
475,0.03683
476,0.0371869
477,0.0368465
478,0.0368072
479,0.0368422
480,0.0367524
481,0.0368995
482,0.0369935
483,0.0369367
484,0.0372691
485,0.0368992
486,0.0367589
487,0.0368731
488,0.0368422
489,0.0368696
490,0.0367842
491,0.0369607
492,0.0394222
493,0.0394593
494,0.0374482
495,0.0369893
496,0.0372283
497,0.0375099
498,0.0378988
499,0.0382317
500,0.0370305
501,0.0369872
502,0.0370513
503,0.037016
504,0.037231
505,0.0368407
506,0.0370051
507,0.036792
508,0.036911
509,0.0369973
510,0.0370703
511,0.0369165
512,0.0368922
513,0.0368407
514,0.0369042
515,0.0368879
516,0.0368097
517,0.0368015
518,0.0373591
519,0.0371138
520,0.0369245
521,0.0369556
522,0.0370779
523,0.0368276
524,0.0369365
525,0.0369115
526,0.036946
527,0.0370155
528,0.0369357
529,0.0368715
530,0.0370085
531,0.0369552
532,0.0368889
533,0.0369194
534,0.0369461
535,0.0368947
536,0.036963
537,0.0373108
538,0.036746
539,0.0370567
540,0.0367886
541,0.0367951
542,0.0369134
543,0.0372232
544,0.0370185
545,0.0367836
546,0.0380662
547,0.0369999
548,0.0382543
549,0.0385185
550,0.040126
551,0.0372889
552,0.0372937
553,0.0370579
554,0.0370703
555,0.036985
556,0.0370098
557,0.0369335
558,0.0369739
559,0.0369213
560,0.0369537
561,0.0371213
562,0.0377599
563,0.0368412
564,0.0372347
565,0.0370854
566,0.0375852
567,0.0383252
568,0.037509
569,0.0370942
570,0.0368354
571,0.0372767
572,0.0380697
573,0.0386904
574,0.0369313
575,0.0368856
576,0.0369733
577,0.0374976
578,0.0369298
579,0.0367849
580,0.0368386
581,0.0369494
582,0.0370308
583,0.0368039
584,0.0368832
585,0.0368091
586,0.0368515
587,0.0367878
588,0.0367448
589,0.0367747
590,0.0373896
591,0.0367672
592,0.0368958
593,0.0369
594,0.0367756
595,0.0369371
596,0.0368475
597,0.0368791
598,0.0371472
599,0.0367862
600,0.036973
601,0.0368321
602,0.0373043
603,0.0378291
604,0.0369012
605,0.036754
606,0.0368083
607,0.0367904
608,0.0368499
609,0.0368678
610,0.0372125
611,0.0369693
612,0.036875
613,0.0368853
614,0.0368426
615,0.03676
616,0.0368804
617,0.0369081
618,0.0370804
619,0.036785
620,0.0368808
621,0.0376492
622,0.0392859
623,0.0368983
624,0.0376129
625,0.0373338
626,0.03718
627,0.0382954
628,0.038356
629,0.0368624
630,0.0369726
631,0.0371201
632,0.0373583
633,0.037168
634,0.0375633
635,0.0371282
636,0.0379537
637,0.0368648
638,0.0369499
639,0.0367655
640,0.0368662
641,0.0367722
642,0.0369206
643,0.0367929
644,0.036866
645,0.0367521
646,0.0368094
647,0.0367873
648,0.0367891
649,0.0368083
650,0.036803
651,0.0368752
652,0.0367684
653,0.0368274
654,0.0368104
655,0.0369502
656,0.0368407
657,0.0369737
658,0.0686842
659,0.0372551
660,0.0371639
661,0.0371351
662,0.0376065
663,0.0367996
664,0.0367791
665,0.0368974
666,0.0368266
667,0.0370405
668,0.0369183
669,0.0369514
670,0.0367683
671,0.0368335
672,0.0367772
673,0.037041
674,0.0368028
675,0.0369532
676,0.036828
677,0.0368245
678,0.0367677
679,0.0371492
680,0.0369226
681,0.0374754
682,0.036893
683,0.0368762
684,0.0367913
685,0.0368332
686,0.0368456
687,0.0368455
688,0.036761
689,0.0369276
690,0.0367745
691,0.0369141
692,0.0369258
693,0.0368543
694,0.0367686
695,0.0369833
696,0.0368965
697,0.0370389
698,0.0368606
699,0.0369258
700,0.0368528
701,0.0369625
702,0.036876
703,0.0369315
704,0.0369271
705,0.036977
706,0.0369015
707,0.0368401
708,0.0368868
709,0.0368237
710,0.0368656
711,0.0369018
712,0.0369148
713,0.036903
714,0.0370746
715,0.036818
716,0.0368213
717,0.0368445
718,0.0367851
719,0.03678
720,0.0368635
721,0.0368248
722,0.0368328
723,0.037051
724,0.0369863
725,0.0370228
726,0.0370916
727,0.0369357
728,0.0369369
729,0.0369016
730,0.0367685
731,0.0369985
732,0.0367995
733,0.0368876
734,0.036941
735,0.036996
736,0.0391229
737,0.0372961
738,0.037092
739,0.0370006
740,0.0368879
741,0.0369469
742,0.0371183
743,0.0369189
744,0.0374368
745,0.0369667
746,0.0368173
747,0.0371953
748,0.037239
749,0.0369273
750,0.0373518
751,0.0375103
752,0.0368357
753,0.0367579
754,0.0370022
755,0.036954
756,0.0367918
757,0.0369178
758,0.0368568
759,0.0368327
760,0.0368716
761,0.0378856
762,0.0370267
763,0.0368884
764,0.0369299
765,0.0368888
766,0.036877
767,0.0370422
768,0.0368867
769,0.0369059
770,0.0369501
771,0.0368486
772,0.036915
773,0.0368634
774,0.0369926
775,0.037132
776,0.0369262
777,0.0368537
778,0.0368503
779,0.036825
780,0.0368718
781,0.036802
782,0.0368763
783,0.0368615
784,0.0368035
785,0.0368122
786,0.0368305
787,0.0369475
788,0.0370176
789,0.03692
790,0.0373811
791,0.037231
792,0.0369155
793,0.0368834
794,0.0369519
795,0.0370346
796,0.0368447
797,0.0368824
798,0.0368435
799,0.0368897
